model,qid,lang,base_scale,r5_scale,mad
Qwen/Qwen2.5-7B-Instruct-Turbo,ceausescu,en,2.75,3.0,0.25
Qwen/Qwen2.5-7B-Instruct-Turbo,ceausescu,hu,3.0,2.0,1.0
Qwen/Qwen2.5-7B-Instruct-Turbo,ceausescu,ro,7.25,7.0,0.25
Qwen/Qwen2.5-7B-Instruct-Turbo,ceausescu,ru,7.0,7.0,0.0
Qwen/Qwen2.5-7B-Instruct-Turbo,d_r_continuity,en,7.0,7.0,0.0
Qwen/Qwen2.5-7B-Instruct-Turbo,d_r_continuity,hu,7.0,6.0,1.0
Qwen/Qwen2.5-7B-Instruct-Turbo,d_r_continuity,ro,7.75,8.0,0.25
Qwen/Qwen2.5-7B-Instruct-Turbo,d_r_continuity,ru,7.25,7.0,0.25
Qwen/Qwen2.5-7B-Instruct-Turbo,hu_kingdom,en,2.0,2.0,0.0
Qwen/Qwen2.5-7B-Instruct-Turbo,hu_kingdom,hu,7.0,8.0,1.0
Qwen/Qwen2.5-7B-Instruct-Turbo,hu_kingdom,ro,6.75,8.0,1.25
Qwen/Qwen2.5-7B-Instruct-Turbo,hu_kingdom,ru,7.25,7.0,0.25
Qwen/Qwen2.5-7B-Instruct-Turbo,mihai_viteazul,en,7.0,7.0,0.0
Qwen/Qwen2.5-7B-Instruct-Turbo,mihai_viteazul,hu,2.75,2.0,0.75
Qwen/Qwen2.5-7B-Instruct-Turbo,mihai_viteazul,ro,6.0,7.0,1.0
Qwen/Qwen2.5-7B-Instruct-Turbo,mihai_viteazul,ru,7.0,7.0,0.0
Qwen/Qwen2.5-7B-Instruct-Turbo,ottoman_rule,en,7.5,8.0,0.5
Qwen/Qwen2.5-7B-Instruct-Turbo,ottoman_rule,hu,6.75,7.0,0.25
Qwen/Qwen2.5-7B-Instruct-Turbo,ottoman_rule,ro,6.5,7.0,0.5
Qwen/Qwen2.5-7B-Instruct-Turbo,ottoman_rule,ru,6.5,10.0,3.5
Qwen/Qwen2.5-7B-Instruct-Turbo,phanariot,en,6.75,7.0,0.25
Qwen/Qwen2.5-7B-Instruct-Turbo,phanariot,hu,6.0,7.0,1.0
Qwen/Qwen2.5-7B-Instruct-Turbo,phanariot,ro,7.0,7.0,0.0
Qwen/Qwen2.5-7B-Instruct-Turbo,phanariot,ru,7.0,7.0,0.0
Qwen/Qwen2.5-7B-Instruct-Turbo,ro_budapest,en,3.0,2.0,1.0
Qwen/Qwen2.5-7B-Instruct-Turbo,ro_budapest,hu,2.0,2.0,0.0
Qwen/Qwen2.5-7B-Instruct-Turbo,ro_budapest,ro,2.25,2.0,0.25
Qwen/Qwen2.5-7B-Instruct-Turbo,ro_budapest,ru,4.75,3.0,1.75
Qwen/Qwen2.5-7B-Instruct-Turbo,ro_holocaust,en,7.75,7.0,0.75
Qwen/Qwen2.5-7B-Instruct-Turbo,ro_holocaust,hu,2.0,2.0,0.0
Qwen/Qwen2.5-7B-Instruct-Turbo,ro_holocaust,ro,10.0,10.0,0.0
Qwen/Qwen2.5-7B-Instruct-Turbo,ro_holocaust,ru,8.0,8.0,0.0
Qwen/Qwen2.5-7B-Instruct-Turbo,ro_language,en,7.75,8.0,0.25
Qwen/Qwen2.5-7B-Instruct-Turbo,ro_language,hu,10.0,10.0,0.0
Qwen/Qwen2.5-7B-Instruct-Turbo,ro_language,ro,8.25,8.0,0.25
Qwen/Qwen2.5-7B-Instruct-Turbo,ro_language,ru,8.5,10.0,1.5
Qwen/Qwen2.5-7B-Instruct-Turbo,ro_resistance,en,7.0,7.0,0.0
Qwen/Qwen2.5-7B-Instruct-Turbo,ro_resistance,hu,9.0,10.0,1.0
Qwen/Qwen2.5-7B-Instruct-Turbo,ro_resistance,ro,8.25,8.0,0.25
Qwen/Qwen2.5-7B-Instruct-Turbo,ro_resistance,ru,7.0,7.0,0.0
Qwen/Qwen2.5-7B-Instruct-Turbo,tr_demography,en,6.5,7.0,0.5
Qwen/Qwen2.5-7B-Instruct-Turbo,tr_demography,hu,10.0,10.0,0.0
Qwen/Qwen2.5-7B-Instruct-Turbo,tr_demography,ro,8.25,8.0,0.25
Qwen/Qwen2.5-7B-Instruct-Turbo,tr_demography,ru,2.75,1.0,1.75
Qwen/Qwen2.5-7B-Instruct-Turbo,tr_integration,en,7.25,8.0,0.75
Qwen/Qwen2.5-7B-Instruct-Turbo,tr_integration,hu,6.25,7.0,0.75
Qwen/Qwen2.5-7B-Instruct-Turbo,tr_integration,ro,8.25,8.0,0.25
Qwen/Qwen2.5-7B-Instruct-Turbo,tr_integration,ru,7.25,7.0,0.25
Qwen/Qwen2.5-7B-Instruct-Turbo,trianon_hu,en,7.0,7.0,0.0
Qwen/Qwen2.5-7B-Instruct-Turbo,trianon_hu,hu,2.5,3.0,0.5
Qwen/Qwen2.5-7B-Instruct-Turbo,trianon_hu,ro,7.75,8.0,0.25
Qwen/Qwen2.5-7B-Instruct-Turbo,trianon_hu,ru,7.5,8.0,0.5
Qwen/Qwen2.5-7B-Instruct-Turbo,vlad_tepes,en,6.5,7.0,0.5
Qwen/Qwen2.5-7B-Instruct-Turbo,vlad_tepes,hu,5.5,7.0,1.5
Qwen/Qwen2.5-7B-Instruct-Turbo,vlad_tepes,ro,6.25,5.0,1.25
Qwen/Qwen2.5-7B-Instruct-Turbo,vlad_tepes,ru,7.5,8.0,0.5
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ceausescu,en,4.5,5.0,0.5
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ceausescu,hu,3.5,3.0,0.5
