qid,lang,model,std
ceausescu,en,Qwen/Qwen2.5-7B-Instruct-Turbo,0.4330127018922193
ceausescu,en,Qwen/Qwen3-235B-A22B-Instruct-2507-tput,0.5
ceausescu,en,arcee-ai/virtuoso-large,0.0
ceausescu,en,deepseek-ai/DeepSeek-R1,0.0
ceausescu,en,deepseek-ai/DeepSeek-V3.1,0.82915619758885
ceausescu,en,google/gemma-3n-E4B-it,0.0
ceausescu,en,lgai/exaone-3-5-32b-instruct,0.0
ceausescu,en,meta-llama/Llama-3.3-70B-Instruct-Turbo,1.0
ceausescu,en,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,0.0
ceausescu,en,meta-llama/Llama-4-Scout-17B-16E-Instruct,0.4330127018922193
ceausescu,en,mistralai/Mistral-Small-24B-Instruct-2501,0.4330127018922193
ceausescu,en,moonshotai/Kimi-K2-Instruct,1.0
ceausescu,en,openai/gpt-oss-20b,1.7320508075688772
ceausescu,hu,Qwen/Qwen2.5-7B-Instruct-Turbo,0.7071067811865476
ceausescu,hu,Qwen/Qwen3-235B-A22B-Instruct-2507-tput,0.5
ceausescu,hu,arcee-ai/virtuoso-large,0.0
ceausescu,hu,deepseek-ai/DeepSeek-R1,3.897114317029974
ceausescu,hu,deepseek-ai/DeepSeek-V3.1,1.5
ceausescu,hu,google/gemma-3n-E4B-it,0.4330127018922193
ceausescu,hu,lgai/exaone-3-5-32b-instruct,0.0
ceausescu,hu,meta-llama/Llama-3.3-70B-Instruct-Turbo,0.0
ceausescu,hu,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,0.4330127018922193
ceausescu,hu,meta-llama/Llama-4-Scout-17B-16E-Instruct,0.7071067811865476
ceausescu,hu,mistralai/Mistral-Small-24B-Instruct-2501,0.5
ceausescu,hu,moonshotai/Kimi-K2-Instruct,3.2015621187164243
ceausescu,hu,openai/gpt-oss-20b,1.0897247358851685
ceausescu,ro,Qwen/Qwen2.5-7B-Instruct-Turbo,0.4330127018922193
ceausescu,ro,Qwen/Qwen3-235B-A22B-Instruct-2507-tput,0.0
ceausescu,ro,arcee-ai/virtuoso-large,0.82915619758885
ceausescu,ro,deepseek-ai/DeepSeek-R1,1.6583123951777
ceausescu,ro,deepseek-ai/DeepSeek-V3.1,
ceausescu,ro,google/gemma-3n-E4B-it,0.0
ceausescu,ro,lgai/exaone-3-5-32b-instruct,1.299038105676658
ceausescu,ro,meta-llama/Llama-3.3-70B-Instruct-Turbo,1.0
ceausescu,ro,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,1.0
ceausescu,ro,meta-llama/Llama-4-Scout-17B-16E-Instruct,0.0
ceausescu,ro,mistralai/Mistral-Small-24B-Instruct-2501,0.0
ceausescu,ro,moonshotai/Kimi-K2-Instruct,1.5811388300841898
ceausescu,ro,openai/gpt-oss-20b,1.299038105676658
ceausescu,ru,Qwen/Qwen2.5-7B-Instruct-Turbo,0.0
ceausescu,ru,Qwen/Qwen3-235B-A22B-Instruct-2507-tput,0.5
ceausescu,ru,arcee-ai/virtuoso-large,0.0
ceausescu,ru,deepseek-ai/DeepSeek-R1,1.6583123951777
ceausescu,ru,deepseek-ai/DeepSeek-V3.1,2.680951323690902
ceausescu,ru,google/gemma-3n-E4B-it,0.0
ceausescu,ru,lgai/exaone-3-5-32b-instruct,0.5
