model,lang,yesno_rows,scale_rows
Qwen/Qwen2.5-7B-Instruct-Turbo,en,56,56
Qwen/Qwen2.5-7B-Instruct-Turbo,hu,56,56
Qwen/Qwen2.5-7B-Instruct-Turbo,ro,56,56
Qwen/Qwen2.5-7B-Instruct-Turbo,ru,56,56
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,en,56,56
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,hu,56,56
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ro,56,56
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ru,56,56
arcee-ai/virtuoso-large,en,56,56
arcee-ai/virtuoso-large,hu,56,56
arcee-ai/virtuoso-large,ro,56,56
arcee-ai/virtuoso-large,ru,56,56
deepseek-ai/DeepSeek-R1,en,33,56
deepseek-ai/DeepSeek-R1,hu,41,56
deepseek-ai/DeepSeek-R1,ro,50,56
deepseek-ai/DeepSeek-R1,ru,3,56
deepseek-ai/DeepSeek-V3.1,en,56,56
deepseek-ai/DeepSeek-V3.1,hu,56,56
deepseek-ai/DeepSeek-V3.1,ro,55,54
deepseek-ai/DeepSeek-V3.1,ru,56,56
google/gemma-3n-E4B-it,en,56,56
google/gemma-3n-E4B-it,hu,56,56
google/gemma-3n-E4B-it,ro,56,56
google/gemma-3n-E4B-it,ru,56,56
lgai/exaone-3-5-32b-instruct,en,56,56
lgai/exaone-3-5-32b-instruct,hu,56,56
lgai/exaone-3-5-32b-instruct,ro,56,56
lgai/exaone-3-5-32b-instruct,ru,56,56
meta-llama/Llama-3.3-70B-Instruct-Turbo,en,56,56
meta-llama/Llama-3.3-70B-Instruct-Turbo,hu,56,56
meta-llama/Llama-3.3-70B-Instruct-Turbo,ro,56,56
meta-llama/Llama-3.3-70B-Instruct-Turbo,ru,56,56
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,en,56,56
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,hu,56,56
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ro,56,56
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ru,56,56
meta-llama/Llama-4-Scout-17B-16E-Instruct,en,56,56
meta-llama/Llama-4-Scout-17B-16E-Instruct,hu,56,56
meta-llama/Llama-4-Scout-17B-16E-Instruct,ro,56,56
meta-llama/Llama-4-Scout-17B-16E-Instruct,ru,56,56
mistralai/Mistral-Small-24B-Instruct-2501,en,56,56
mistralai/Mistral-Small-24B-Instruct-2501,hu,56,56
mistralai/Mistral-Small-24B-Instruct-2501,ro,56,56
mistralai/Mistral-Small-24B-Instruct-2501,ru,55,56
moonshotai/Kimi-K2-Instruct,en,56,56
moonshotai/Kimi-K2-Instruct,hu,56,56
moonshotai/Kimi-K2-Instruct,ro,56,56
moonshotai/Kimi-K2-Instruct,ru,56,56
openai/gpt-oss-20b,en,56,56
openai/gpt-oss-20b,hu,56,55
openai/gpt-oss-20b,ro,56,55
openai/gpt-oss-20b,ru,56,55
