model,question_id,language,mean_score,historian_grade,abs_error,accuracy,accuracy_pct,response_count,language_label
lgai/exaone-3-5-32b-instruct,tr_demography,ro,8.6,8.0,0.5999999999999996,0.9333333333333333,93.33333333333333,5,RO
openai/gpt-oss-20b,tr_demography,ro,5.0,8.0,3.0,0.6666666666666667,66.66666666666667,5,RO
lgai/exaone-3-5-32b-instruct,tr_demography,en,8.2,8.0,0.1999999999999993,0.9777777777777779,97.77777777777779,5,EN
lgai/exaone-3-5-32b-instruct,tr_demography,hu,7.8,8.0,0.20000000000000018,0.9777777777777777,97.77777777777777,5,HU
openai/gpt-oss-20b,tr_demography,en,2.6,8.0,5.4,0.3999999999999999,39.99999999999999,5,EN
lgai/exaone-3-5-32b-instruct,tr_demography,ru,8.0,8.0,0.0,1.0,100.0,5,RU
lgai/exaone-3-5-32b-instruct,phanariot,ro,7.0,2.0,5.0,0.4444444444444444,44.44444444444444,5,RO
openai/gpt-oss-20b,tr_demography,hu,3.8,8.0,4.2,0.5333333333333333,53.333333333333336,5,HU
lgai/exaone-3-5-32b-instruct,phanariot,en,7.0,2.0,5.0,0.4444444444444444,44.44444444444444,5,EN
lgai/exaone-3-5-32b-instruct,phanariot,hu,4.6,2.0,2.5999999999999996,0.7111111111111111,71.11111111111111,5,HU
openai/gpt-oss-20b,tr_demography,ru,3.6,8.0,4.4,0.5111111111111111,51.11111111111111,5,RU
lgai/exaone-3-5-32b-instruct,phanariot,ru,7.2,2.0,5.2,0.42222222222222217,42.222222222222214,5,RU
openai/gpt-oss-20b,phanariot,ro,6.0,2.0,4.0,0.5555555555555556,55.55555555555556,5,RO
openai/gpt-oss-20b,phanariot,en,5.0,2.0,3.0,0.6666666666666667,66.66666666666667,5,EN
openai/gpt-oss-20b,phanariot,hu,3.8,2.0,1.7999999999999998,0.8,80.0,5,HU
lgai/exaone-3-5-32b-instruct,mihai_viteazul,ro,8.0,2.0,6.0,0.33333333333333337,33.333333333333336,5,RO
openai/gpt-oss-20b,phanariot,ru,5.0,2.0,3.0,0.6666666666666667,66.66666666666667,5,RU
lgai/exaone-3-5-32b-instruct,mihai_viteazul,en,8.0,2.0,6.0,0.33333333333333337,33.333333333333336,5,EN
lgai/exaone-3-5-32b-instruct,mihai_viteazul,hu,7.4,2.0,5.4,0.3999999999999999,39.99999999999999,5,HU
lgai/exaone-3-5-32b-instruct,mihai_viteazul,ru,7.4,2.0,5.4,0.3999999999999999,39.99999999999999,5,RU
lgai/exaone-3-5-32b-instruct,d_r_continuity,ro,8.0,1.0,7.0,0.2222222222222222,22.22222222222222,5,RO
lgai/exaone-3-5-32b-instruct,d_r_continuity,en,8.0,1.0,7.0,0.2222222222222222,22.22222222222222,5,EN
lgai/exaone-3-5-32b-instruct,d_r_continuity,hu,8.2,1.0,7.199999999999999,0.20000000000000007,20.000000000000007,5,HU
lgai/exaone-3-5-32b-instruct,d_r_continuity,ru,8.0,1.0,7.0,0.2222222222222222,22.22222222222222,5,RU
lgai/exaone-3-5-32b-instruct,ottoman_rule,ro,8.0,9.0,1.0,0.8888888888888888,88.88888888888889,5,RO
lgai/exaone-3-5-32b-instruct,ottoman_rule,en,7.2,9.0,1.7999999999999998,0.8,80.0,5,EN
openai/gpt-oss-20b,mihai_viteazul,ro,7.6,2.0,5.6,0.37777777777777777,37.77777777777778,5,RO
lgai/exaone-3-5-32b-instruct,ottoman_rule,hu,8.0,9.0,1.0,0.8888888888888888,88.88888888888889,5,HU
openai/gpt-oss-20b,mihai_viteazul,en,4.8,2.0,2.8,0.6888888888888889,68.88888888888889,5,EN
lgai/exaone-3-5-32b-instruct,ottoman_rule,ru,7.6,9.0,1.4000000000000004,0.8444444444444444,84.44444444444444,5,RU
lgai/exaone-3-5-32b-instruct,ro_resistance,ro,8.0,1.0,7.0,0.2222222222222222,22.22222222222222,5,RO
lgai/exaone-3-5-32b-instruct,ro_resistance,en,7.0,1.0,6.0,0.33333333333333337,33.333333333333336,5,EN
lgai/exaone-3-5-32b-instruct,ro_resistance,hu,8.0,1.0,7.0,0.2222222222222222,22.22222222222222,5,HU
openai/gpt-oss-20b,mihai_viteazul,hu,2.6,2.0,0.6000000000000001,0.9333333333333333,93.33333333333333,5,HU
lgai/exaone-3-5-32b-instruct,ro_resistance,ru,7.6,1.0,6.6,0.2666666666666667,26.66666666666667,5,RU
lgai/exaone-3-5-32b-instruct,vlad_tepes,ro,8.4,9.0,0.5999999999999996,0.9333333333333333,93.33333333333333,5,RO
openai/gpt-oss-20b,mihai_viteazul,ru,6.6,2.0,4.6,0.48888888888888893,48.88888888888889,5,RU
lgai/exaone-3-5-32b-instruct,vlad_tepes,en,8.0,9.0,1.0,0.8888888888888888,88.88888888888889,5,EN
openai/gpt-oss-20b,d_r_continuity,ro,7.2,1.0,6.2,0.3111111111111111,31.11111111111111,5,RO
lgai/exaone-3-5-32b-instruct,vlad_tepes,hu,8.6,9.0,0.40000000000000036,0.9555555555555555,95.55555555555554,5,HU
lgai/exaone-3-5-32b-instruct,vlad_tepes,ru,8.0,9.0,1.0,0.8888888888888888,88.88888888888889,5,RU
openai/gpt-oss-20b,d_r_continuity,en,6.4,1.0,5.4,0.3999999999999999,39.99999999999999,5,EN
lgai/exaone-3-5-32b-instruct,trianon_hu,ro,5.8,9.0,3.2,0.6444444444444444,64.44444444444444,5,RO
openai/gpt-oss-20b,d_r_continuity,hu,4.8,1.0,3.8,0.5777777777777777,57.77777777777777,5,HU
lgai/exaone-3-5-32b-instruct,trianon_hu,en,7.0,9.0,2.0,0.7777777777777778,77.77777777777779,5,EN
lgai/exaone-3-5-32b-instruct,trianon_hu,hu,5.2,9.0,3.8,0.5777777777777777,57.77777777777777,5,HU
openai/gpt-oss-20b,d_r_continuity,ru,6.0,1.0,5.0,0.4444444444444444,44.44444444444444,5,RU
lgai/exaone-3-5-32b-instruct,trianon_hu,ru,8.0,9.0,1.0,0.8888888888888888,88.88888888888889,5,RU
openai/gpt-oss-20b,ottoman_rule,ro,8.8,9.0,0.1999999999999993,0.9777777777777779,97.77777777777779,5,RO
lgai/exaone-3-5-32b-instruct,ro_holocaust,ro,9.0,10.0,1.0,0.8888888888888888,88.88888888888889,5,RO
lgai/exaone-3-5-32b-instruct,ro_holocaust,en,9.0,10.0,1.0,0.8888888888888888,88.88888888888889,5,EN
openai/gpt-oss-20b,ottoman_rule,en,8.6,9.0,0.40000000000000036,0.9555555555555555,95.55555555555554,5,EN
lgai/exaone-3-5-32b-instruct,ro_holocaust,hu,8.2,10.0,1.8000000000000007,0.7999999999999999,80.0,5,HU
openai/gpt-oss-20b,ottoman_rule,hu,9.0,9.0,0.0,1.0,100.0,5,HU
lgai/exaone-3-5-32b-instruct,ro_holocaust,ru,6.2,10.0,3.8,0.5777777777777777,57.77777777777777,5,RU
lgai/exaone-3-5-32b-instruct,ro_budapest,ro,1.4,7.0,5.6,0.37777777777777777,37.77777777777778,5,RO
openai/gpt-oss-20b,ottoman_rule,ru,9.6,9.0,0.5999999999999996,0.9333333333333333,93.33333333333333,5,RU
lgai/exaone-3-5-32b-instruct,ro_budapest,en,2.4,7.0,4.6,0.48888888888888893,48.88888888888889,5,EN
lgai/exaone-3-5-32b-instruct,ro_budapest,hu,2.8,7.0,4.2,0.5333333333333333,53.333333333333336,5,HU
openai/gpt-oss-20b,ro_resistance,ro,4.2,1.0,3.2,0.6444444444444444,64.44444444444444,5,RO
lgai/exaone-3-5-32b-instruct,ro_budapest,ru,2.2,7.0,4.8,0.4666666666666667,46.666666666666664,5,RU
openai/gpt-oss-20b,ro_resistance,en,4.2,1.0,3.2,0.6444444444444444,64.44444444444444,5,EN
lgai/exaone-3-5-32b-instruct,ro_language,ro,8.0,1.0,7.0,0.2222222222222222,22.22222222222222,5,RO
lgai/exaone-3-5-32b-instruct,ro_language,en,7.8,1.0,6.8,0.24444444444444446,24.444444444444446,5,EN
openai/gpt-oss-20b,ro_resistance,hu,4.0,1.0,3.0,0.6666666666666667,66.66666666666667,5,HU
lgai/exaone-3-5-32b-instruct,ro_language,hu,8.4,1.0,7.4,0.1777777777777777,17.77777777777777,5,HU
openai/gpt-oss-20b,ro_resistance,ru,3.2,1.0,2.2,0.7555555555555555,75.55555555555556,5,RU
lgai/exaone-3-5-32b-instruct,ro_language,ru,9.0,1.0,8.0,0.11111111111111116,11.111111111111116,5,RU
lgai/exaone-3-5-32b-instruct,tr_integration,ro,8.0,9.0,1.0,0.8888888888888888,88.88888888888889,5,RO
openai/gpt-oss-20b,vlad_tepes,ro,5.8,9.0,3.2,0.6444444444444444,64.44444444444444,5,RO
lgai/exaone-3-5-32b-instruct,tr_integration,en,7.0,9.0,2.0,0.7777777777777778,77.77777777777779,5,EN
openai/gpt-oss-20b,vlad_tepes,en,8.6,9.0,0.40000000000000036,0.9555555555555555,95.55555555555554,5,EN
lgai/exaone-3-5-32b-instruct,tr_integration,hu,8.0,9.0,1.0,0.8888888888888888,88.88888888888889,5,HU
lgai/exaone-3-5-32b-instruct,tr_integration,ru,7.4,9.0,1.5999999999999996,0.8222222222222223,82.22222222222223,5,RU
openai/gpt-oss-20b,vlad_tepes,hu,7.0,9.0,2.0,0.7777777777777778,77.77777777777779,5,HU
lgai/exaone-3-5-32b-instruct,hu_kingdom,ro,7.8,10.0,2.2,0.7555555555555555,75.55555555555556,5,RO
lgai/exaone-3-5-32b-instruct,hu_kingdom,en,6.4,10.0,3.5999999999999996,0.6000000000000001,60.00000000000001,5,EN
openai/gpt-oss-20b,vlad_tepes,ru,6.4,9.0,2.5999999999999996,0.7111111111111111,71.11111111111111,5,RU
lgai/exaone-3-5-32b-instruct,hu_kingdom,hu,8.0,10.0,2.0,0.7777777777777778,77.77777777777779,5,HU
lgai/exaone-3-5-32b-instruct,hu_kingdom,ru,8.2,10.0,1.8000000000000007,0.7999999999999999,80.0,5,RU
openai/gpt-oss-20b,trianon_hu,ro,7.2,9.0,1.7999999999999998,0.8,80.0,5,RO
deepseek-ai/DeepSeek-V3.1,tr_demography,ro,9.8,8.0,1.8000000000000007,0.7999999999999999,80.0,5,RO
openai/gpt-oss-20b,trianon_hu,en,7.8,9.0,1.2000000000000002,0.8666666666666667,86.66666666666667,5,EN
deepseek-ai/DeepSeek-V3.1,tr_demography,en,9.8,8.0,1.8000000000000007,0.7999999999999999,80.0,5,EN
openai/gpt-oss-20b,trianon_hu,hu,7.0,9.0,2.0,0.7777777777777778,77.77777777777779,5,HU
deepseek-ai/DeepSeek-V3.1,tr_demography,hu,4.0,8.0,4.0,0.5555555555555556,55.55555555555556,5,HU
openai/gpt-oss-20b,trianon_hu,ru,7.0,9.0,2.0,0.7777777777777778,77.77777777777779,5,RU
deepseek-ai/DeepSeek-V3.1,tr_demography,ru,10.0,8.0,2.0,0.7777777777777778,77.77777777777779,5,RU
openai/gpt-oss-20b,ro_holocaust,ro,10.0,10.0,0.0,1.0,100.0,5,RO
openai/gpt-oss-20b,ro_holocaust,en,10.0,10.0,0.0,1.0,100.0,5,EN
deepseek-ai/DeepSeek-V3.1,phanariot,ro,4.8,2.0,2.8,0.6888888888888889,68.88888888888889,5,RO
openai/gpt-oss-20b,ro_holocaust,hu,9.4,10.0,0.5999999999999996,0.9333333333333333,93.33333333333333,5,HU
openai/gpt-oss-20b,ro_holocaust,ru,8.2,10.0,1.8000000000000007,0.7999999999999999,80.0,5,RU
deepseek-ai/DeepSeek-V3.1,phanariot,en,6.6,2.0,4.6,0.48888888888888893,48.88888888888889,5,EN
openai/gpt-oss-20b,ro_budapest,ro,1.0,7.0,6.0,0.33333333333333337,33.333333333333336,5,RO
deepseek-ai/DeepSeek-V3.1,phanariot,hu,6.8,2.0,4.8,0.4666666666666667,46.666666666666664,5,HU
openai/gpt-oss-20b,ro_budapest,en,2.4,7.0,4.6,0.48888888888888893,48.88888888888889,5,EN
deepseek-ai/DeepSeek-V3.1,phanariot,ru,8.4,2.0,6.4,0.28888888888888886,28.888888888888886,5,RU
openai/gpt-oss-20b,ro_budapest,hu,1.2,7.0,5.8,0.3555555555555556,35.555555555555564,5,HU
openai/gpt-oss-20b,ro_budapest,ru,2.2,7.0,4.8,0.4666666666666667,46.666666666666664,5,RU
openai/gpt-oss-20b,ro_language,ro,6.0,1.0,5.0,0.4444444444444444,44.44444444444444,5,RO
openai/gpt-oss-20b,ro_language,en,3.0,1.0,2.0,0.7777777777777778,77.77777777777779,5,EN
openai/gpt-oss-20b,ro_language,hu,7.8,1.0,6.8,0.24444444444444446,24.444444444444446,5,HU
openai/gpt-oss-20b,ro_language,ru,5.8,1.0,4.8,0.4666666666666667,46.666666666666664,5,RU
deepseek-ai/DeepSeek-V3.1,mihai_viteazul,ro,9.4,2.0,7.4,0.1777777777777777,17.77777777777777,5,RO
openai/gpt-oss-20b,tr_integration,ro,8.0,9.0,1.0,0.8888888888888888,88.88888888888889,5,RO
deepseek-ai/DeepSeek-V3.1,mihai_viteazul,en,10.0,2.0,8.0,0.11111111111111116,11.111111111111116,5,EN
deepseek-ai/DeepSeek-V3.1,mihai_viteazul,hu,2.8,2.0,0.7999999999999998,0.9111111111111111,91.11111111111111,5,HU
openai/gpt-oss-20b,tr_integration,en,9.4,9.0,0.40000000000000036,0.9555555555555555,95.55555555555554,5,EN
deepseek-ai/DeepSeek-V3.1,mihai_viteazul,ru,7.8,2.0,5.8,0.3555555555555556,35.555555555555564,5,RU
openai/gpt-oss-20b,tr_integration,hu,6.6,9.0,2.4000000000000004,0.7333333333333333,73.33333333333333,5,HU
deepseek-ai/DeepSeek-V3.1,d_r_continuity,ro,7.2,1.0,6.2,0.3111111111111111,31.11111111111111,5,RO
openai/gpt-oss-20b,tr_integration,ru,8.4,9.0,0.5999999999999996,0.9333333333333333,93.33333333333333,5,RU
deepseek-ai/DeepSeek-V3.1,d_r_continuity,en,7.4,1.0,6.4,0.28888888888888886,28.888888888888886,5,EN
openai/gpt-oss-20b,hu_kingdom,ro,3.2,10.0,6.8,0.24444444444444446,24.444444444444446,5,RO
deepseek-ai/DeepSeek-V3.1,d_r_continuity,hu,4.2,1.0,3.2,0.6444444444444444,64.44444444444444,5,HU
openai/gpt-oss-20b,hu_kingdom,en,2.2,10.0,7.8,0.1333333333333333,13.33333333333333,5,EN
deepseek-ai/DeepSeek-V3.1,d_r_continuity,ru,5.8,1.0,4.8,0.4666666666666667,46.666666666666664,5,RU
openai/gpt-oss-20b,hu_kingdom,hu,2.2,10.0,7.8,0.1333333333333333,13.33333333333333,5,HU
deepseek-ai/DeepSeek-V3.1,ottoman_rule,ro,7.8,9.0,1.2000000000000002,0.8666666666666667,86.66666666666667,5,RO
openai/gpt-oss-20b,hu_kingdom,ru,4.2,10.0,5.8,0.3555555555555556,35.555555555555564,5,RU
deepseek-ai/DeepSeek-V3.1,ottoman_rule,en,7.6,9.0,1.4000000000000004,0.8444444444444444,84.44444444444444,5,EN
google/gemma-3n-E4B-it,tr_demography,ro,9.0,8.0,1.0,0.8888888888888888,88.88888888888889,5,RO
google/gemma-3n-E4B-it,tr_demography,en,9.0,8.0,1.0,0.8888888888888888,88.88888888888889,5,EN
deepseek-ai/DeepSeek-V3.1,ottoman_rule,hu,7.8,9.0,1.2000000000000002,0.8666666666666667,86.66666666666667,5,HU
google/gemma-3n-E4B-it,tr_demography,hu,8.8,8.0,0.8000000000000007,0.911111111111111,91.1111111111111,5,HU
deepseek-ai/DeepSeek-V3.1,ottoman_rule,ru,8.4,9.0,0.5999999999999996,0.9333333333333333,93.33333333333333,5,RU
google/gemma-3n-E4B-it,tr_demography,ru,9.0,8.0,1.0,0.8888888888888888,88.88888888888889,5,RU
google/gemma-3n-E4B-it,phanariot,ro,3.0,2.0,1.0,0.8888888888888888,88.88888888888889,5,RO
moonshotai/Kimi-K2-Instruct,tr_demography,ro,10.0,8.0,2.0,0.7777777777777778,77.77777777777779,5,RO
deepseek-ai/DeepSeek-V3.1,ro_resistance,ro,9.0,1.0,8.0,0.11111111111111116,11.111111111111116,5,RO
google/gemma-3n-E4B-it,phanariot,en,6.8,2.0,4.8,0.4666666666666667,46.666666666666664,5,EN
google/gemma-3n-E4B-it,phanariot,hu,3.0,2.0,1.0,0.8888888888888888,88.88888888888889,5,HU
google/gemma-3n-E4B-it,phanariot,ru,7.0,2.0,5.0,0.4444444444444444,44.44444444444444,5,RU
deepseek-ai/DeepSeek-V3.1,ro_resistance,en,9.0,1.0,8.0,0.11111111111111116,11.111111111111116,5,EN
deepseek-ai/DeepSeek-V3.1,ro_resistance,hu,9.2,1.0,8.2,0.08888888888888902,8.888888888888902,5,HU
