model,question_id,language,run_file,historian_grade,response_value,abs_error,accuracy,accuracy_pct,language_label
lgai/exaone-3-5-32b-instruct,tr_demography,ro,results/1_test_results.json,8.0,10.0,2.0,0.7777777777777778,77.77777777777779,RO
openai/gpt-oss-20b,tr_demography,ro,results/1_test_results.json,8.0,6.0,2.0,0.7777777777777778,77.77777777777779,RO
lgai/exaone-3-5-32b-instruct,tr_demography,en,results/1_test_results.json,8.0,8.0,0.0,1.0,100.0,EN
lgai/exaone-3-5-32b-instruct,tr_demography,hu,results/1_test_results.json,8.0,9.0,1.0,0.8888888888888888,88.88888888888889,HU
openai/gpt-oss-20b,tr_demography,en,results/1_test_results.json,8.0,1.0,7.0,0.2222222222222222,22.22222222222222,EN
lgai/exaone-3-5-32b-instruct,tr_demography,ru,results/1_test_results.json,8.0,8.0,0.0,1.0,100.0,RU
lgai/exaone-3-5-32b-instruct,phanariot,ro,results/1_test_results.json,2.0,7.0,5.0,0.4444444444444444,44.44444444444444,RO
openai/gpt-oss-20b,tr_demography,hu,results/1_test_results.json,8.0,1.0,7.0,0.2222222222222222,22.22222222222222,HU
lgai/exaone-3-5-32b-instruct,phanariot,en,results/1_test_results.json,2.0,7.0,5.0,0.4444444444444444,44.44444444444444,EN
lgai/exaone-3-5-32b-instruct,phanariot,hu,results/1_test_results.json,2.0,3.0,1.0,0.8888888888888888,88.88888888888889,HU
openai/gpt-oss-20b,tr_demography,ru,results/1_test_results.json,8.0,1.0,7.0,0.2222222222222222,22.22222222222222,RU
lgai/exaone-3-5-32b-instruct,phanariot,ru,results/1_test_results.json,2.0,7.0,5.0,0.4444444444444444,44.44444444444444,RU
openai/gpt-oss-20b,phanariot,ro,results/1_test_results.json,2.0,6.0,4.0,0.5555555555555556,55.55555555555556,RO
openai/gpt-oss-20b,phanariot,en,results/1_test_results.json,2.0,5.0,3.0,0.6666666666666667,66.66666666666667,EN
openai/gpt-oss-20b,phanariot,hu,results/1_test_results.json,2.0,3.0,1.0,0.8888888888888888,88.88888888888889,HU
lgai/exaone-3-5-32b-instruct,mihai_viteazul,ro,results/1_test_results.json,2.0,8.0,6.0,0.33333333333333337,33.333333333333336,RO
openai/gpt-oss-20b,phanariot,ru,results/1_test_results.json,2.0,5.0,3.0,0.6666666666666667,66.66666666666667,RU
lgai/exaone-3-5-32b-instruct,mihai_viteazul,en,results/1_test_results.json,2.0,8.0,6.0,0.33333333333333337,33.333333333333336,EN
lgai/exaone-3-5-32b-instruct,mihai_viteazul,hu,results/1_test_results.json,2.0,8.0,6.0,0.33333333333333337,33.333333333333336,HU
lgai/exaone-3-5-32b-instruct,mihai_viteazul,ru,results/1_test_results.json,2.0,7.0,5.0,0.4444444444444444,44.44444444444444,RU
lgai/exaone-3-5-32b-instruct,d_r_continuity,ro,results/1_test_results.json,1.0,8.0,7.0,0.2222222222222222,22.22222222222222,RO
lgai/exaone-3-5-32b-instruct,d_r_continuity,en,results/1_test_results.json,1.0,8.0,7.0,0.2222222222222222,22.22222222222222,EN
