model,question_id,language,historian_grade,expected_yes,correct_count,total_count,accuracy,accuracy_pct,language_label
lgai/exaone-3-5-32b-instruct,tr_demography,ro,8.0,True,4,4,1.0,100.0,RO
openai/gpt-oss-20b,tr_demography,ro,8.0,True,1,4,0.25,25.0,RO
lgai/exaone-3-5-32b-instruct,tr_demography,en,8.0,True,4,4,1.0,100.0,EN
lgai/exaone-3-5-32b-instruct,tr_demography,hu,8.0,True,3,4,0.75,75.0,HU
openai/gpt-oss-20b,tr_demography,en,8.0,True,4,4,1.0,100.0,EN
lgai/exaone-3-5-32b-instruct,tr_demography,ru,8.0,True,4,4,1.0,100.0,RU
lgai/exaone-3-5-32b-instruct,phanariot,ro,2.0,False,0,4,0.0,0.0,RO
openai/gpt-oss-20b,tr_demography,hu,8.0,True,1,4,0.25,25.0,HU
lgai/exaone-3-5-32b-instruct,phanariot,en,2.0,False,1,4,0.25,25.0,EN
deepseek-ai/DeepSeek-R1,tr_demography,ro,8.0,True,4,4,1.0,100.0,RO
lgai/exaone-3-5-32b-instruct,phanariot,hu,2.0,False,4,4,1.0,100.0,HU
openai/gpt-oss-20b,tr_demography,ru,8.0,True,3,4,0.75,75.0,RU
lgai/exaone-3-5-32b-instruct,phanariot,ru,2.0,False,1,4,0.25,25.0,RU
openai/gpt-oss-20b,phanariot,ro,2.0,False,4,4,1.0,100.0,RO
openai/gpt-oss-20b,phanariot,en,2.0,False,4,4,1.0,100.0,EN
openai/gpt-oss-20b,phanariot,hu,2.0,False,4,4,1.0,100.0,HU
lgai/exaone-3-5-32b-instruct,mihai_viteazul,ro,2.0,False,0,4,0.0,0.0,RO
openai/gpt-oss-20b,phanariot,ru,2.0,False,4,4,1.0,100.0,RU
lgai/exaone-3-5-32b-instruct,mihai_viteazul,en,2.0,False,0,4,0.0,0.0,EN
lgai/exaone-3-5-32b-instruct,mihai_viteazul,hu,2.0,False,4,4,1.0,100.0,HU
lgai/exaone-3-5-32b-instruct,mihai_viteazul,ru,2.0,False,4,4,1.0,100.0,RU
lgai/exaone-3-5-32b-instruct,d_r_continuity,ro,1.0,False,0,4,0.0,0.0,RO
lgai/exaone-3-5-32b-instruct,d_r_continuity,en,1.0,False,0,4,0.0,0.0,EN
lgai/exaone-3-5-32b-instruct,d_r_continuity,hu,1.0,False,0,4,0.0,0.0,HU
lgai/exaone-3-5-32b-instruct,d_r_continuity,ru,1.0,False,0,4,0.0,0.0,RU
lgai/exaone-3-5-32b-instruct,ottoman_rule,ro,9.0,True,4,4,1.0,100.0,RO
openai/gpt-oss-20b,mihai_viteazul,ro,2.0,False,1,4,0.25,25.0,RO
lgai/exaone-3-5-32b-instruct,ottoman_rule,en,9.0,True,4,4,1.0,100.0,EN
lgai/exaone-3-5-32b-instruct,ottoman_rule,hu,9.0,True,4,4,1.0,100.0,HU
deepseek-ai/DeepSeek-R1,tr_demography,en,8.0,True,4,4,1.0,100.0,EN
openai/gpt-oss-20b,mihai_viteazul,en,2.0,False,3,4,0.75,75.0,EN
lgai/exaone-3-5-32b-instruct,ottoman_rule,ru,9.0,True,4,4,1.0,100.0,RU
lgai/exaone-3-5-32b-instruct,ro_resistance,ro,1.0,False,0,4,0.0,0.0,RO
lgai/exaone-3-5-32b-instruct,ro_resistance,en,1.0,False,2,4,0.5,50.0,EN
openai/gpt-oss-20b,mihai_viteazul,hu,2.0,False,4,4,1.0,100.0,HU
lgai/exaone-3-5-32b-instruct,ro_resistance,hu,1.0,False,0,4,0.0,0.0,HU
lgai/exaone-3-5-32b-instruct,ro_resistance,ru,1.0,False,3,4,0.75,75.0,RU
openai/gpt-oss-20b,mihai_viteazul,ru,2.0,False,4,4,1.0,100.0,RU
lgai/exaone-3-5-32b-instruct,vlad_tepes,ro,9.0,True,4,4,1.0,100.0,RO
lgai/exaone-3-5-32b-instruct,vlad_tepes,en,9.0,True,4,4,1.0,100.0,EN
openai/gpt-oss-20b,d_r_continuity,ro,1.0,False,1,4,0.25,25.0,RO
lgai/exaone-3-5-32b-instruct,vlad_tepes,hu,9.0,True,3,4,0.75,75.0,HU
lgai/exaone-3-5-32b-instruct,vlad_tepes,ru,9.0,True,4,4,1.0,100.0,RU
openai/gpt-oss-20b,d_r_continuity,en,1.0,False,2,4,0.5,50.0,EN
lgai/exaone-3-5-32b-instruct,trianon_hu,ro,9.0,True,2,4,0.5,50.0,RO
openai/gpt-oss-20b,d_r_continuity,hu,1.0,False,4,4,1.0,100.0,HU
lgai/exaone-3-5-32b-instruct,trianon_hu,en,9.0,True,1,4,0.25,25.0,EN
lgai/exaone-3-5-32b-instruct,trianon_hu,hu,9.0,True,4,4,1.0,100.0,HU
openai/gpt-oss-20b,d_r_continuity,ru,1.0,False,2,4,0.5,50.0,RU
lgai/exaone-3-5-32b-instruct,trianon_hu,ru,9.0,True,4,4,1.0,100.0,RU
