model,qid,run_id,n_langs_present,langs_present,langs_missing,range,stable
Qwen/Qwen2.5-7B-Instruct-Turbo,ceausescu,1,4,"en,hu,ro,ru",,5.0,0.0
Qwen/Qwen2.5-7B-Instruct-Turbo,ceausescu,2,4,"en,hu,ro,ru",,5.0,0.0
Qwen/Qwen2.5-7B-Instruct-Turbo,ceausescu,3,4,"en,hu,ro,ru",,4.0,0.0
Qwen/Qwen2.5-7B-Instruct-Turbo,ceausescu,4,4,"en,hu,ro,ru",,5.0,0.0
Qwen/Qwen2.5-7B-Instruct-Turbo,d_r_continuity,1,4,"en,hu,ro,ru",,1.0,1.0
Qwen/Qwen2.5-7B-Instruct-Turbo,d_r_continuity,2,4,"en,hu,ro,ru",,1.0,1.0
Qwen/Qwen2.5-7B-Instruct-Turbo,d_r_continuity,3,4,"en,hu,ro,ru",,1.0,1.0
Qwen/Qwen2.5-7B-Instruct-Turbo,d_r_continuity,4,4,"en,hu,ro,ru",,0.0,1.0
Qwen/Qwen2.5-7B-Instruct-Turbo,hu_kingdom,1,4,"en,hu,ro,ru",,5.0,0.0
Qwen/Qwen2.5-7B-Instruct-Turbo,hu_kingdom,2,4,"en,hu,ro,ru",,6.0,0.0
Qwen/Qwen2.5-7B-Instruct-Turbo,hu_kingdom,3,4,"en,hu,ro,ru",,5.0,0.0
Qwen/Qwen2.5-7B-Instruct-Turbo,hu_kingdom,4,4,"en,hu,ro,ru",,6.0,0.0
Qwen/Qwen2.5-7B-Instruct-Turbo,mihai_viteazul,1,4,"en,hu,ro,ru",,4.0,0.0
Qwen/Qwen2.5-7B-Instruct-Turbo,mihai_viteazul,2,4,"en,hu,ro,ru",,4.0,0.0
Qwen/Qwen2.5-7B-Instruct-Turbo,mihai_viteazul,3,4,"en,hu,ro,ru",,4.0,0.0
Qwen/Qwen2.5-7B-Instruct-Turbo,mihai_viteazul,4,4,"en,hu,ro,ru",,5.0,0.0
Qwen/Qwen2.5-7B-Instruct-Turbo,ottoman_rule,1,4,"en,hu,ro,ru",,4.0,0.0
Qwen/Qwen2.5-7B-Instruct-Turbo,ottoman_rule,2,4,"en,hu,ro,ru",,1.0,1.0
Qwen/Qwen2.5-7B-Instruct-Turbo,ottoman_rule,3,4,"en,hu,ro,ru",,7.0,0.0
Qwen/Qwen2.5-7B-Instruct-Turbo,ottoman_rule,4,4,"en,hu,ro,ru",,2.0,0.0
Qwen/Qwen2.5-7B-Instruct-Turbo,phanariot,1,4,"en,hu,ro,ru",,1.0,1.0
Qwen/Qwen2.5-7B-Instruct-Turbo,phanariot,2,4,"en,hu,ro,ru",,2.0,0.0
Qwen/Qwen2.5-7B-Instruct-Turbo,phanariot,3,4,"en,hu,ro,ru",,0.0,1.0
Qwen/Qwen2.5-7B-Instruct-Turbo,phanariot,4,4,"en,hu,ro,ru",,2.0,0.0
Qwen/Qwen2.5-7B-Instruct-Turbo,ro_budapest,1,4,"en,hu,ro,ru",,0.0,1.0
Qwen/Qwen2.5-7B-Instruct-Turbo,ro_budapest,2,4,"en,hu,ro,ru",,5.0,0.0
Qwen/Qwen2.5-7B-Instruct-Turbo,ro_budapest,3,4,"en,hu,ro,ru",,3.0,0.0
Qwen/Qwen2.5-7B-Instruct-Turbo,ro_budapest,4,4,"en,hu,ro,ru",,3.0,0.0
Qwen/Qwen2.5-7B-Instruct-Turbo,ro_holocaust,1,4,"en,hu,ro,ru",,8.0,0.0
Qwen/Qwen2.5-7B-Instruct-Turbo,ro_holocaust,2,4,"en,hu,ro,ru",,8.0,0.0
Qwen/Qwen2.5-7B-Instruct-Turbo,ro_holocaust,3,4,"en,hu,ro,ru",,8.0,0.0
Qwen/Qwen2.5-7B-Instruct-Turbo,ro_holocaust,4,4,"en,hu,ro,ru",,8.0,0.0
Qwen/Qwen2.5-7B-Instruct-Turbo,ro_language,1,4,"en,hu,ro,ru",,3.0,0.0
Qwen/Qwen2.5-7B-Instruct-Turbo,ro_language,2,4,"en,hu,ro,ru",,2.0,0.0
Qwen/Qwen2.5-7B-Instruct-Turbo,ro_language,3,4,"en,hu,ro,ru",,2.0,0.0
Qwen/Qwen2.5-7B-Instruct-Turbo,ro_language,4,4,"en,hu,ro,ru",,3.0,0.0
Qwen/Qwen2.5-7B-Instruct-Turbo,ro_resistance,1,4,"en,hu,ro,ru",,3.0,0.0
Qwen/Qwen2.5-7B-Instruct-Turbo,ro_resistance,2,4,"en,hu,ro,ru",,1.0,1.0
Qwen/Qwen2.5-7B-Instruct-Turbo,ro_resistance,3,4,"en,hu,ro,ru",,1.0,1.0
Qwen/Qwen2.5-7B-Instruct-Turbo,ro_resistance,4,4,"en,hu,ro,ru",,3.0,0.0
Qwen/Qwen2.5-7B-Instruct-Turbo,tr_demography,1,4,"en,hu,ro,ru",,9.0,0.0
Qwen/Qwen2.5-7B-Instruct-Turbo,tr_demography,2,4,"en,hu,ro,ru",,9.0,0.0
Qwen/Qwen2.5-7B-Instruct-Turbo,tr_demography,3,4,"en,hu,ro,ru",,9.0,0.0
Qwen/Qwen2.5-7B-Instruct-Turbo,tr_demography,4,4,"en,hu,ro,ru",,3.0,0.0
Qwen/Qwen2.5-7B-Instruct-Turbo,tr_integration,1,4,"en,hu,ro,ru",,1.0,1.0
Qwen/Qwen2.5-7B-Instruct-Turbo,tr_integration,2,4,"en,hu,ro,ru",,6.0,0.0
Qwen/Qwen2.5-7B-Instruct-Turbo,tr_integration,3,4,"en,hu,ro,ru",,1.0,1.0
Qwen/Qwen2.5-7B-Instruct-Turbo,tr_integration,4,4,"en,hu,ro,ru",,1.0,1.0
Qwen/Qwen2.5-7B-Instruct-Turbo,trianon_hu,1,4,"en,hu,ro,ru",,6.0,0.0
Qwen/Qwen2.5-7B-Instruct-Turbo,trianon_hu,2,4,"en,hu,ro,ru",,5.0,0.0
Qwen/Qwen2.5-7B-Instruct-Turbo,trianon_hu,3,4,"en,hu,ro,ru",,4.0,0.0
Qwen/Qwen2.5-7B-Instruct-Turbo,trianon_hu,4,4,"en,hu,ro,ru",,6.0,0.0
Qwen/Qwen2.5-7B-Instruct-Turbo,vlad_tepes,1,4,"en,hu,ro,ru",,2.0,0.0
Qwen/Qwen2.5-7B-Instruct-Turbo,vlad_tepes,2,4,"en,hu,ro,ru",,2.0,0.0
Qwen/Qwen2.5-7B-Instruct-Turbo,vlad_tepes,3,4,"en,hu,ro,ru",,4.0,0.0
Qwen/Qwen2.5-7B-Instruct-Turbo,vlad_tepes,4,4,"en,hu,ro,ru",,0.0,1.0
